dft_action,event_pair_key,system_id,formula,natoms,nsubs,nvacs,split,event_type,event_family,story_role,site_a,site_b,foundation_endpoint_label,finetuned_endpoint_label,transition_label,foundation_neb_status,finetuned_neb_status,foundation_ready_for_neb,finetuned_ready_for_neb,both_models_ready_for_neb,both_models_status_usable,foundation_forward_barrier_eV,finetuned_forward_barrier_eV,foundation_reverse_barrier_eV,finetuned_reverse_barrier_eV,strict_abs_forward_barrier_delta_eV,strict_abs_reverse_barrier_delta_eV,foundation_path_shape,finetuned_path_shape,foundation_notes,finetuned_notes,selection_score,score_story_weight,score_cost_penalty,selection_reason,finetuned_source_init_data,finetuned_source_final_relaxed_data,score_transition_severity,score_readiness_bonus,score_barrier_disagreement_term,score_kinetics_term,rank_within_action,rank_within_action_event_type,recommended_priority_tier
final_relax_only,P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792__130__95,P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792,P137N2,144,2,5,test,trap_escape,escape,trap/detrap bottleneck,130,95,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,46.29,1.5,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,1,1,core
final_relax_only,P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c__62__98,P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c,P137N3,144,3,4,test,trap_escape,escape,trap/detrap bottleneck,62,98,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,46.29,1.5,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,2,2,core
final_relax_only,P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62__98__62,P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62,P134N6,144,6,4,test,trap_escape,escape,trap/detrap bottleneck,98,62,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,46.2,1.5,0.3,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,3,3,extended
final_relax_only,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d__3__141,P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,P130N5,144,5,9,test,trap_escape,escape,trap/detrap bottleneck,3,141,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,46.08,1.5,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,4,4,extended
final_relax_only,P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c__6__108,P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,P130N8,144,8,6,test,trap_escape,escape,trap/detrap bottleneck,6,108,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,46.08,1.5,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,5,5,extended
final_relax_only,P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c__67__97,P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,P130N8,144,8,6,test,trap_escape,escape,trap/detrap bottleneck,67,97,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,46.08,1.5,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,6,6,extended
final_relax_only,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__71__35,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,P126N9,144,9,9,test,trap_escape,escape,trap/detrap bottleneck,71,35,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,45.96,1.5,0.54,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,7,7,extended
final_relax_only,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__37__103,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,P126N9,144,9,9,test,trap_escape,escape,trap/detrap bottleneck,37,103,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,45.96,1.5,0.54,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,8,8,extended
final_relax_only,P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf__120__85,P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,P126N9,144,9,9,test,trap_escape,escape,trap/detrap bottleneck,120,85,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,45.96,1.5,0.54,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,9,9,extended
final_relax_only,P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5__51__87,P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,P126N9,144,9,9,test,trap_escape,escape,trap/detrap bottleneck,51,87,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,45.96,1.5,0.54,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,10,10,extended
