event_pair_key,system_id,split,event_type,event_family,family_aczz,is_near_dopant,is_far_from_dopant,is_escaping,is_non_escaping,vac_site_144,neighbor_site_144,site_a,site_b,foundation_endpoint_label,finetuned_endpoint_label,transition_label,endpoint_is_disagree,foundation_ready_for_neb,finetuned_ready_for_neb,both_models_ready_for_neb,foundation_neb_present,finetuned_neb_present,foundation_neb_status,finetuned_neb_status,foundation_usable_complete,finetuned_usable_complete,both_models_usable_complete,foundation_status_is_usable,finetuned_status_is_usable,both_models_status_usable,both_models_log_neb_parseable,foundation_forward_barrier_eV,finetuned_forward_barrier_eV,foundation_reverse_barrier_eV,finetuned_reverse_barrier_eV,forward_barrier_delta_ft_minus_foundation_eV,reverse_barrier_delta_ft_minus_foundation_eV,abs_forward_barrier_delta_eV,abs_reverse_barrier_delta_eV,strict_forward_barrier_delta_ft_minus_foundation_eV,strict_reverse_barrier_delta_ft_minus_foundation_eV,strict_abs_forward_barrier_delta_eV,strict_abs_reverse_barrier_delta_eV,foundation_path_shape,finetuned_path_shape,foundation_final_step,finetuned_final_step,foundation_final_max_replica_force_eVA,finetuned_final_max_replica_force_eVA,foundation_notes,finetuned_notes
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__4__40,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,4,40,4,40,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,failed,usable,True,True,True,False,True,False,True,561.53561,0.0,561.76637,0.35363665,-561.53561,-561.41273335,561.53561,561.41273335,,,,,interior_saddle,initial_endpoint_highest,2333,2162,1302.0065,0.019988448,final_force_above_ftol; barrier_extremely_large; segfault,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__4__112,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,4,112,4,112,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.31395944,0.2688777,0.0,1.0825994,-0.04508173999999998,1.0825994,0.04508173999999998,1.0825994,-0.04508173999999998,1.0825994,0.04508173999999998,1.0825994,final_endpoint_highest,interior_saddle,846,345,0.019942318,0.019606201,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__4__142,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,4,142,4,142,different_basin,same_basin,different_basin -> same_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__36__0,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,36,0,36,0,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__36__72,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,36,72,36,72,different_basin,same_basin,different_basin -> same_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__41__5,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,41,5,41,5,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,6.0501721e-06,0.12017657,0.21485262,0.56476958,0.1201705198279,0.34991696,0.1201705198279,0.34991696,0.1201705198279,0.34991696,0.1201705198279,0.34991696,initial_endpoint_highest,interior_saddle,3006,598,0.016470211,0.018940377,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__41__77,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,41,77,41,77,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,failed,failed,True,True,True,False,False,False,True,50.475679,2708.4775,50.34453,2709.1302,2658.001821,2658.78567,2658.001821,2658.78567,,,,,interior_saddle,interior_saddle,539,849,214.71841,145221.59,final_force_above_ftol; barrier_extremely_large; segfault,final_force_above_ftol; barrier_extremely_large; segfault
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__41__107,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,41,107,41,107,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__74__38,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,74,38,74,38,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,failed,usable,True,True,True,False,True,False,True,0.01398169,0.93934678,1.3584434,0.010640794,0.92536509,-1.3478026060000001,0.92536509,1.3478026060000001,,,,,interior_saddle,interior_saddle,1918,645,285.39905,0.019992393,final_force_above_ftol; segfault,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__74__44,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,74,44,74,44,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
